Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
Apr 23,69,66,29,--,16,-0.5°,27,Fair,6h 49min,7h 10min,0:57,8:33
Apr 22,58,65,42,--,15,-0.1°,28,Poor,7h 4min,7h 0min,1:42,9:50
Apr 21,72,65,32,--,16,-0.1°,27,Fair,6h 28min,7h 0min,1:46,9:00
Apr 20,81,59,50,--,16,+0.1°,28,Good,9h 3min,7h 0min,23:44,9:41
Apr 19,57,63,31,--,15,-0.1°,29,Poor,6h 26min,7h 40min,0:34,9:27
Apr 18,79,65,47,--,16,+0.2°,28,Fair,6h 55min,7h 10min,1:43,9:07
Apr 17,67,65,35,--,15,+0.1°,28,Fair,6h 22min,7h 0min,1:32,8:26
Apr 16,73,62,46,--,15,+0.2°,29,Fair,6h 41min,7h 0min,0:48,8:13
Apr 15,82,61,53,--,15,+0.1°,28,Good,7h 4min,7h 0min,1:09,8:51
Apr 14,80,63,65,--,15,-0.4°,28,Good,8h 14min,7h 10min,1:15,10:02
Apr 13,76,54,55,--,14,0°,27,Fair,7h 54min,7h 0min,1:30,10:04
Apr 12,54,64,41,--,16,-0.1°,25,Poor,6h 40min,7h 0min,0:52,8:30
Apr 11,81,61,67,--,16,-0.7°,25,Good,8h 4min,7h 40min,1:13,9:54
Apr 10,63,59,30,--,16,-0.2°,24,Fair,5h 16min,7h 10min,3:21,9:44
Apr 9,75,66,43,--,17,-0.3°,23,Fair,6h 45min,7h 40min,0:34,7:56
