Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
Nov 5,76,62,39,--,15,-0.6°,26,Fair,7h 11min,7h 40min,1:35,8:57
Nov 4,77,64,40,--,17,0°,25,Fair,7h 54min,8h 0min,0:44,9:16
Nov 3,68,63,30,--,16,-0.6°,25,Fair,7h 41min,7h 0min,1:24,10:16
Nov 2,47,65,19,--,17,-0.5°,26,Poor,7h 36min,7h 40min,0:48,9:43
Nov 1,64,64,35,--,16,-0.2°,26,Fair,8h 21min,7h 40min,0:34,10:03
Oct 31,72,61,31,--,15,-0.1°,26,Fair,8h 30min,7h 40min,0:55,9:53
Oct 30,76,59,48,--,15,0°,27,Fair,7h 47min,7h 40min,0:44,9:34
Oct 29,71,62,30,--,15,+0.6°,26,Fair,7h 26min,7h 40min,0:49,9:40
Oct 28,78,63,42,--,15,+0.4°,26,Fair,8h 6min,7h 20min,0:42,9:26
Oct 27,78,59,55,--,15,-0.4°,25,Fair,7h 49min,7h 40min,0:32,9:03
Oct 26,56,63,30,--,16,+0.4°,25,Poor,7h 57min,8h 0min,0:37,10:00
Oct 25,70,64,33,--,16,+0.8°,25,Fair,8h 26min,7h 20min,1:26,10:47
Oct 24,73,63,32,--,16,+0.4°,26,Fair,8h 5min,7h 20min,0:53,9:41
Oct 23,54,65,26,--,16,+0.6°,26,Poor,8h 34min,7h 20min,0:55,10:09
Oct 22,64,64,28,--,16,+0.6°,28,Fair,7h 16min,7h 10min,0:34,8:50
Oct 21,44,64,24,--,16,+0.6°,27,Poor,8h 20min,7h 20min,0:35,9:52
Oct 20,68,63,28,--,15,+0.2°,28,Fair,7h 14min,7h 20min,0:12,8:08
Oct 19,75,61,45,--,16,+0.3°,28,Fair,8h 36min,7h 40min,0:27,9:38
Oct 18,75,57,48,--,16,0°,28,Fair,8h 27min,7h 20min,0:32,9:34
Oct 17,71,57,49,--,15,-0.2°,28,Fair,7h 34min,7h 0min,0:44,9:05
Oct 16,77,59,53,--,16,-0.2°,27,Fair,8h 20min,7h 40min,0:01,9:07
Oct 15,47,65,30,--,16,+0.1°,27,Poor,8h 0min,7h 0min,0:10,9:50
Oct 14,52,62,26,--,17,0°,28,Poor,8h 4min,7h 40min,0:06,9:52
Oct 13,55,60,49,--,15,0°,28,Poor,8h 46min,7h 0min,22:12,8:26
Oct 12,52,61,45,--,16,-0.6°,28,Poor,8h 5min,7h 40min,23:05,8:58
Oct 11,59,58,48,--,16,0°,27,Poor,7h 15min,7h 20min,23:11,8:21
Oct 10,62,60,37,--,16,-0.5°,27,Fair,7h 46min,7h 0min,21:00,6:00
Oct 9,65,63,41,--,16,-1.8°,28,Fair,7h 17min,7h 0min,0:28,8:54
