Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
May 21,79,59,51,--,15,+0.3°,27,Fair,7h 14min,7h 0min,1:22,9:22
May 20,74,63,45,--,16,+0.6°,28,Fair,8h 54min,7h 10min,0:03,9:38
May 19,57,62,40,--,15,-0.1°,29,Poor,7h 6min,7h 40min,1:30,9:46
May 18,64,64,32,--,16,+0.4°,29,Fair,6h 39min,7h 0min,2:16,10:15
May 17,65,63,28,--,16,+0.5°,29,Fair,7h 42min,7h 0min,1:00,9:36
May 16,57,65,32,--,17,+0.2°,29,Poor,6h 23min,7h 0min,0:25,7:30
May 15,72,58,46,--,15,-0.9°,30,Fair,5h 39min,7h 0min,1:42,8:15
May 14,80,61,54,--,15,-0.2°,29,Good,8h 28min,7h 0min,1:13,10:15
May 13,78,60,59,--,16,-0.2°,28,Fair,7h 1min,7h 0min,0:35,8:15
May 12,61,62,44,--,15,-0.7°,27,Fair,5h 18min,7h 0min,1:22,9:00
May 11,75,59,50,--,16,-0.2°,27,Fair,8h 24min,7h 0min,1:37,10:32
May 10,68,63,51,--,15,+0.1°,28,Fair,8h 20min,7h 40min,1:03,10:32
May 9,68,64,49,--,16,-0.5°,27,Fair,6h 40min,7h 10min,0:57,8:15
May 8,73,62,38,--,16,+0.4°,27,Fair,6h 12min,7h 10min,2:00,8:49
May 7,67,66,35,--,16,+0.3°,27,Fair,6h 3min,7h 0min,1:16,7:48
May 6,63,67,29,--,17,0°,27,Fair,7h 57min,7h 0min,0:40,9:38
May 5,76,64,39,--,15,-0.9°,27,Fair,8h 24min,7h 0min,0:53,9:52
May 4,80,63,51,--,16,-0.1°,27,Good,7h 32min,7h 0min,1:34,9:42
May 3,75,66,41,--,16,0°,26,Fair,7h 21min,7h 0min,0:51,8:58
May 2,76,63,51,--,16,0°,26,Fair,7h 46min,7h 0min,0:02,8:27
May 1,71,65,45,--,16,+0.1°,26,Fair,6h 29min,7h 0min,23:54,7:16
Apr 30,75,64,50,--,16,+0.2°,27,Fair,8h 24min,7h 0min,23:40,8:43
Apr 29,54,68,26,--,16,+0.6°,26,Poor,6h 41min,7h 0min,0:22,8:00
Apr 28,76,66,45,--,15,+0.4°,27,Fair,7h 6min,7h 40min,0:40,8:41
Apr 27,76,65,46,--,15,-0.4°,27,Fair,6h 53min,7h 0min,2:16,10:10
Apr 26,75,64,46,--,15,+0.1°,28,Fair,7h 3min,7h 0min,1:16,9:03
Apr 25,79,62,47,--,15,+0.3°,28,Fair,6h 11min,7h 0min,2:29,8:58
Apr 24,67,65,37,--,17,-0.4°,28,Fair,6h 6min,7h 0min,0:39,7:07
