Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
Oct 8,78,60,59,--,16,-0.2°,28,Fair,9h 22min,7h 40min,0:21,10:23
Oct 7,48,68,17,--,16,-1.1°,28,Poor,7h 6min,7h 40min,0:42,10:02
Oct 6,49,66,20,--,17,+0.9°,28,Poor,7h 58min,8h 40min,0:25,9:58
Oct 5,36,74,16,--,16,+1.1°,28,Poor,5h 37min,7h 40min,1:36,8:20
Oct 4,72,65,42,--,16,+0.3°,28,Fair,8h 2min,7h 0min,9:16,18:10
Oct 3,82,59,58,--,15,-1°,28,Good,8h 2min,7h 0min,23:40,8:22
Oct 2,72,60,59,--,16,+0.1°,27,Fair,7h 31min,7h 40min,23:15,7:58
Oct 1,77,60,45,--,16,+0.1°,26,Fair,8h 49min,8h 20min,22:26,7:52
Sep 30,70,65,32,--,16,+0.2°,26,Fair,7h 40min,7h 40min,22:54,7:35
Sep 29,73,66,32,--,17,+1.1°,26,Fair,8h 8min,7h 40min,22:20,7:00
Sep 28,67,63,37,--,16,+0.3°,27,Fair,7h 50min,7h 0min,23:22,8:00
Sep 27,67,60,43,--,15,+0.6°,27,Fair,9h 8min,7h 40min,21:24,7:34
Sep 26,54,59,41,--,15,+0.4°,28,Poor,7h 46min,7h 0min,23:11,8:42
Sep 25,51,64,29,--,15,-0.8°,28,Poor,7h 34min,7h 0min,21:53,6:44
Sep 23,27,64,13,--,15,+1.1°,28,Poor,2h 10min,7h 0min,23:41,2:02
Sep 22,83,59,57,--,14,0°,28,Good,7h 40min,7h 20min,1:24,9:55
Sep 21,69,62,45,--,16,+0.3°,28,Fair,7h 51min,7h 10min,1:37,10:13
Sep 20,72,59,47,--,15,+0.3°,28,Fair,7h 45min,7h 20min,1:32,10:10
Sep 19,73,61,37,--,16,+0.4°,28,Fair,8h 2min,7h 40min,0:42,9:32
Sep 18,66,61,40,--,15,-0.2°,28,Fair,6h 56min,7h 10min,1:23,9:06
Sep 17,73,61,49,--,15,+0.3°,28,Fair,7h 39min,7h 0min,1:36,9:57
Sep 16,72,56,56,--,15,0°,29,Fair,7h 30min,7h 20min,1:39,10:04
Sep 15,72,62,40,--,16,+0.6°,29,Fair,7h 43min,7h 0min,1:43,10:34
Sep 14,72,62,48,--,15,+0.6°,30,Fair,8h 33min,7h 20min,1:31,10:59
Sep 13,74,60,55,--,16,-0.3°,31,Fair,8h 2min,7h 40min,0:33,9:31
Sep 12,82,57,40,--,15,+0.3°,30,Good,8h 12min,7h 10min,1:30,9:57
Sep 11,65,64,29,--,16,+0.4°,31,Fair,7h 12min,7h 10min,1:52,9:27
