Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
Aug 13,73,61,41,--,15,+0.1°,31,Fair,6h 56min,7h 40min,0:46,8:30
Aug 12,57,64,22,--,16,+0.1°,30,Poor,6h 26min,7h 40min,1:06,9:05
Aug 11,57,61,44,--,16,-0.4°,31,Poor,7h 59min,7h 0min,1:21,10:36
Aug 10,72,58,69,--,16,-0.7°,32,Fair,8h 36min,7h 20min,0:21,10:21
Aug 9,48,64,27,--,16,+0.5°,31,Poor,6h 44min,7h 40min,0:30,8:42
Aug 8,79,60,55,--,16,-0.6°,32,Fair,8h 6min,7h 10min,0:39,9:24
Aug 7,82,59,58,--,15,+0.1°,31,Good,7h 9min,7h 0min,0:48,8:20
Aug 6,77,58,53,--,15,+0.1°,30,Fair,7h 34min,7h 0min,0:59,9:01
Aug 5,76,60,59,--,15,-0.5°,30,Fair,7h 22min,8h 10min,0:17,8:23
Aug 4,72,61,53,--,15,0°,30,Fair,6h 35min,7h 0min,1:00,8:13
Aug 3,75,61,50,--,15,-0.2°,29,Fair,8h 27min,7h 40min,0:45,9:58
Aug 2,70,62,37,--,15,-0.7°,30,Fair,5h 26min,7h 40min,0:06,6:01
Aug 1,75,60,51,--,15,+0.1°,30,Fair,7h 2min,7h 0min,1:19,9:11
Jul 31,78,61,44,--,16,+0.2°,31,Fair,6h 57min,7h 20min,1:23,8:46
Jul 30,76,60,47,--,15,-0.1°,31,Fair,7h 56min,7h 0min,1:43,10:15
Jul 29,73,61,46,--,15,-0.2°,32,Fair,7h 48min,7h 0min,0:03,9:01
Jul 28,73,59,47,--,16,+0.3°,32,Fair,8h 34min,7h 0min,0:15,9:36
Jul 27,78,56,54,--,16,-0.2°,32,Fair,8h 20min,7h 0min,1:33,10:06
Jul 26,61,58,56,--,15,-0.8°,32,Fair,6h 26min,7h 20min,1:01,9:15
Jul 25,65,59,53,--,15,+0.3°,33,Fair,7h 58min,7h 0min,1:19,10:01
Jul 24,72,60,49,--,16,-0.2°,33,Fair,7h 30min,7h 20min,1:31,10:00
Jul 23,80,57,55,--,14,-0.4°,33,Good,7h 29min,7h 40min,1:44,9:54
Jul 22,80,60,56,--,16,+0.3°,32,Good,7h 30min,7h 40min,0:51,9:00
Jul 21,73,57,44,--,14,0°,33,Fair,6h 59min,7h 0min,0:57,9:09
Jul 20,82,58,66,--,15,0°,32,Good,8h 59min,7h 0min,1:11,11:05
Jul 19,79,60,63,--,16,+0.3°,32,Fair,8h 11min,7h 0min,1:20,10:06
Jul 18,75,61,37,--,16,-0.1°,32,Fair,7h 48min,7h 0min,1:00,9:22
Jul 17,76,56,59,--,15,-0.1°,32,Fair,8h 30min,7h 0min,1:00,10:28
