Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
Jul 16,78,60,55,--,16,+0.2°,32,Fair,7h 10min,7h 0min,1:30,9:15
Jul 15,83,57,65,--,15,+0.2°,32,Good,6h 47min,7h 40min,1:34,9:14
Jul 14,66,61,40,--,15,0°,31,Fair,7h 16min,7h 40min,1:24,10:08
Jul 13,70,61,50,--,16,-0.7°,32,Fair,7h 51min,7h 40min,1:43,10:08
Jul 12,78,53,64,--,15,-0.2°,32,Fair,6h 41min,7h 40min,23:44,7:16
Jul 11,49,58,35,--,15,-0.4°,31,Poor,3h 50min,7h 0min,2:54,7:10
Jul 10,72,58,56,--,15,+0.3°,30,Fair,7h 11min,7h 40min,1:04,9:03
Jul 9,69,58,54,--,16,-0.1°,31,Fair,7h 8min,7h 0min,1:36,9:42
Jul 8,67,59,51,--,16,+0.3°,31,Fair,6h 30min,7h 0min,1:53,9:58
Jul 7,80,58,51,--,15,+0.2°,31,Good,7h 46min,7h 20min,2:17,10:38
Jul 6,72,57,60,--,15,+0.3°,31,Fair,9h 16min,7h 0min,0:35,10:38
Jul 5,67,60,37,--,15,-0.4°,32,Fair,8h 9min,7h 0min,1:40,11:00
Jul 4,79,60,44,--,15,+0.4°,33,Fair,8h 22min,7h 0min,1:15,10:13
Jul 3,78,59,47,--,15,+0.2°,33,Fair,7h 33min,7h 10min,1:06,9:10
Jul 2,74,56,54,--,13,-0.1°,32,Fair,7h 48min,7h 0min,1:10,10:11
Jul 1,81,58,51,--,15,+0.2°,33,Good,7h 12min,7h 20min,1:36,10:12
Jun 30,84,56,64,--,14,-0.5°,32,Good,8h 6min,7h 0min,1:32,10:08
Jun 29,80,61,45,--,15,+0.2°,32,Good,7h 44min,7h 40min,2:11,10:31
Jun 28,77,58,56,--,15,+0.4°,31,Fair,6h 52min,7h 20min,1:48,9:42
Jun 27,82,58,50,--,16,-0.4°,31,Good,6h 59min,7h 0min,1:40,9:05
Jun 26,75,58,48,--,15,+0.2°,31,Fair,7h 7min,7h 10min,1:36,9:46
Jun 25,87,59,65,--,15,+0.3°,30,Good,8h 1min,7h 10min,1:45,10:14
Jun 24,73,61,49,--,16,-0.1°,30,Fair,7h 8min,7h 0min,1:48,9:23
Jun 23,80,57,53,--,15,0°,29,Good,7h 56min,7h 20min,1:14,10:03
Jun 22,68,59,57,--,15,-0.2°,30,Fair,7h 55min,7h 10min,1:20,10:45
Jun 21,81,59,58,--,15,+0.4°,30,Good,7h 12min,7h 0min,1:33,9:20
Jun 20,78,53,49,--,15,-0.9°,31,Fair,8h 46min,7h 20min,1:00,10:20
Jun 19,73,60,43,--,15,+0.2°,31,Fair,8h 35min,7h 0min,0:45,10:09
